sid,name,cname
sz000725,京东方Ａ,含B股
sz000726,"鲁 泰Ａ",含B股
sz000761,本钢板材,含B股
sz000869,"张 裕Ａ",含B股
sh600187,国中水务,空气治理
sh600292,远达环保,空气治理
sh600388,龙净环保,空气治理
sh600405,动力源,空气治理
sh600459,贵研铂业,空气治理
sh600499,科达洁能,空气治理
sh600526,菲达环保,空气治理
sh600630,龙头股份,空气治理
sh601908,京运通,空气治理
sz000551,创元科技,空气治理
sz000581,威孚高科,空气治理
sz000586,汇源通信,空气治理
sz000652,泰达股份,空气治理
sz000915,山大华特,空气治理
sz000925,众合科技,空气治理
sz002076,"雪 莱 特",空气治理
sz002126,银轮股份,空气治理
sz002145,中核钛白,空气治理
sz002203,海亮股份,空气治理
sz002341,新纶科技,空气治理
sz002499,科林环保,空气治理
sz002549,凯美特气,空气治理
sz002573,清新环境,空气治理
sz002658,雪迪龙,空气治理
sz300007,汉威电子,空气治理
sz300012,华测检测,空气治理
sz300056,三维丝,空气治理
sz300072,三聚环保,空气治理
sz300090,盛运环保,空气治理
sz300105,龙源技术,空气治理
sz300137,先河环保,空气治理
sz300152,科融环境,空气治理
sz300156,神雾环保,空气治理
sz300165,天瑞仪器,空气治理
sz300172,中电环保,空气治理
sz300187,永清环保,空气治理
sz300203,聚光科技,空气治理
sz300385,雪浪环境,空气治理
sh600004,白云机场,整体上市
sh600009,上海机场,整体上市
sh600010,包钢股份,整体上市
sh600011,华能国际,整体上市
sh600018,上港集团,整体上市
sh600019,宝钢股份,整体上市
sh600027,华电国际,整体上市
sh600031,三一重工,整体上市
sh600038,中直股份,整体上市
sh600068,葛洲坝,整体上市
sh600104,上汽集团,整体上市
sh600115,东方航空,整体上市
sh600118,中国卫星,整体上市
sh600139,西部资源,整体上市
sh600362,江西铜业,整体上市
sh600393,粤泰股份,整体上市
sh600428,中远航运,整体上市
sh600478,科力远,整体上市
sh600500,中化国际,整体上市
sh600507,方大特钢,整体上市
sh600508,上海能源,整体上市
sh600523,贵航股份,整体上市
sh600611,大众交通,整体上市
sh600662,强生控股,整体上市
sh600676,交运股份,整体上市
sh600717,天津港,整体上市
sh600718,东软集团,整体上市
sh600719,大连热电,整体上市
sh600770,综艺股份,整体上市
sh600782,新钢股份,整体上市
sh600787,中储股份,整体上市
sh600795,国电电力,整体上市
sh600811,东方集团,整体上市
sh600850,华东电脑,整体上市
sh600855,航天长峰,整体上市
sh600875,东方电气,整体上市
sh600879,航天电子,整体上市
sh600895,张江高科,整体上市
sh600900,长江电力,整体上市
sh600980,北矿磁材,整体上市
sh600990,四创电子,整体上市
sz000027,深圳能源,整体上市
sz000031,中粮地产,整体上市
sz000046,泛海控股,整体上市
sz000069,华侨城Ａ,整体上市
sz000089,深圳机场,整体上市
sz000157,中联重科,整体上市
sz000333,美的集团,整体上市
sz000520,长航凤凰,整体上市
sz000719,大地传媒,整体上市
sz000723,美锦能源,整体上市
sz000758,中色股份,整体上市
sz000761,本钢板材,整体上市
sz000768,中航飞机,整体上市
sz000777,中核科技,整体上市
sz000789,万年青,整体上市
sz000798,中水渔业,整体上市
sz000800,一汽轿车,整体上市
sz000825,太钢不锈,整体上市
sz000837,秦川机床,整体上市
sz000878,云南铜业,整体上市
sz000912,泸天化,整体上市
sz000930,中粮生化,整体上市
sz000951,中国重汽,整体上市
sz002046,轴研科技,整体上市
sz002171,楚江新材,整体上市
sz002268,"卫 士 通",整体上市
sz002368,太极股份,整体上市
sz002415,海康威视,整体上市
sh600012,皖通高速,金融改革
sh600064,南京高科,金融改革
sh600070,浙江富润,金融改革
sh600095,哈高科,金融改革
sh600113,浙江东日,金融改革
sh600119,长江投资,金融改革
sh600120,浙江东方,金融改革
sh600143,金发科技,金融改革
sh600208,新湖中宝,金融改革
sh600211,西藏药业,金融改革
sh600237,铜峰电子,金融改革
sh600305,恒顺醋业,金融改革
sh600327,大东方,金融改革
sh600330,天通股份,金融改革
sh600400,红豆股份,金融改革
sh600415,小商品城,金融改革
sh600491,龙元建设,金融改革
sh600527,江南高纤,金融改革
sh600533,栖霞建设,金融改革
sh600535,天士力,金融改革
sh600572,康恩贝,金融改革
sh600596,新安股份,金融改革
sh600606,绿地控股,金融改革
sh600611,大众交通,金融改革
sh600614,鼎立股份,金融改革
sh600679,上海凤凰,金融改革
sh600728,佳都科技,金融改革
sh600767,运盛医疗,金融改革
sh600773,西藏城投,金融改革
sh600777,新潮实业,金融改革
sh600784,鲁银投资,金融改革
sh600787,中储股份,金融改革
sh600830,香溢融通,金融改革
sh600851,海欣股份,金融改革
sh600872,中炬高新,金融改革
sh601515,东风股份,金融改革
sh601567,三星医疗,金融改革
sh601678,滨化股份,金融改革
sz000058,"深 赛 格",金融改革
sz000061,"农 产 品",金融改革
sz000415,渤海金控,金融改革
sz000419,通程控股,金融改革
sz000421,南京中北,金融改革
sz000592,平潭发展,金融改革
sz000626,如意集团,金融改革
sz000735,"罗 牛 山",金融改革
sz000828,东莞控股,金融改革
sz000900,现代投资,金融改革
sz002120,新海股份,金融改革
sz002126,银轮股份,金融改革
sz002131,利欧股份,金融改革
sz002133,广宇集团,金融改革
sz002178,延华智能,金融改革
sz002183,"怡 亚 通",金融改革
sz002208,合肥城建,金融改革
sz002245,澳洋顺昌,金融改革
sz002250,联化科技,金融改革
sz002277,友阿股份,金融改革
sz002280,联络互动,金融改革
sz002285,世联行,金融改革
sz002344,海宁皮城,金融改革
sz002375,亚厦股份,金融改革
sz002404,嘉欣丝绸,金融改革
sz002418,康盛股份,金融改革
sz002522,浙江众成,金融改革
sz002552,宝鼎科技,金融改革
sz002560,通达股份,金融改革
sz002575,群兴玩具,金融改革
sz002600,江粉磁材,金融改革
sz002615,哈尔斯,金融改革
sz002624,完美环球,金融改革
sz002634,棒杰股份,金融改革
sz002653,海思科,金融改革
sz300079,数码视讯,金融改革
sz300178,腾邦国际,金融改革
sh600161,天坛生物,本月解禁
sh600166,福田汽车,本月解禁
sh600184,光电股份,本月解禁
sh600242,中昌海运,本月解禁
sh600597,光明乳业,本月解禁
sh600612,老凤祥,本月解禁
sh600681,百川能源,本月解禁
sh600869,智慧能源,本月解禁
sh601018,宁波港,本月解禁
sh601339,百隆东方,本月解禁
sh601808,中海油服,本月解禁
sh603167,渤海轮渡,本月解禁
sz000001,平安银行,本月解禁
sz000561,烽火电子,本月解禁
sz000564,西安民生,本月解禁
sz000639,西王食品,本月解禁
